,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
4,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
5,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Davila,PH,82.4,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
10,Port-Gentil,GA,81.18,overcast clouds,-0.7193,8.7815,Fengshui Residence
12,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
32,Ambon,ID,84.2,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
33,Kilindoni,TZ,80.38,clear sky,-7.9139,39.6668,Bustani B&B
38,Port Blair,IN,78.98,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
40,Carutapera,BR,76.87,overcast clouds,-1.195,-46.02,Lidera
43,Djougou,BJ,84.2,clear sky,9.7085,1.666,Hotel cathas
45,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
46,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
47,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
48,Atuona,PF,79.48,overcast clouds,-9.8,-139.0333,Villa Enata
56,Bengkulu,ID,77.63,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
66,Copperas Cove,US,75.2,broken clouds,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
68,Hobyo,SO,78.93,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
72,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Kandrian,PG,84.69,light rain,-6.2167,149.55,Kandrian Station
80,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
84,Katherine,AU,84.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
87,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
91,Rikitea,PF,78.82,clear sky,-23.1203,-134.9692,Pension Maro'i
94,Alice Springs,AU,82.4,clear sky,-23.7,133.8833,Desert Palms Alice Springs
99,Hithadhoo,MV,80.31,overcast clouds,-0.6,73.0833,Scoop Guest House
100,Puerto Ayora,EC,75.99,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,Kalmunai,LK,75.85,scattered clouds,7.4167,81.8167,VS Villa
105,Ahuimanu,US,77.0,light rain,21.4447,-157.8378,Paradise Bay Resort
106,Merauke,ID,83.32,broken clouds,-8.4667,140.3333,PC
114,Guider,CM,82.36,scattered clouds,9.9342,13.9486,Hotel Falaise
120,Ulladulla,AU,75.99,broken clouds,-35.35,150.4667,Sandpiper Motel
123,Vanimo,PG,84.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
124,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
126,Bambanglipuro,ID,80.29,broken clouds,-7.95,110.2833,Puri Brata
127,San Pedro,PH,86.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
128,Itarema,BR,78.58,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
132,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu House
141,Kahului,US,80.6,light rain,20.8947,-156.47,Maui Seaside Hotel
149,Tual,ID,82.74,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
152,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
158,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
160,Gigmoto,PH,80.62,scattered clouds,13.7796,124.39,Cj's Travellers Inn
162,Kavieng,PG,85.21,broken clouds,-2.5744,150.7967,Nusa Island Retreat
164,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
167,Dingle,PH,81.21,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
168,Auki,SB,82.36,overcast clouds,-8.7676,160.7034,Auki Motel
172,Port Hedland,AU,87.8,broken clouds,-20.3167,118.5667,The Esplanade Hotel
178,Puerto Ayacucho,VE,81.99,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
184,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
191,Moron,AR,75.99,few clouds,-34.6534,-58.6198,Hotel Morón
203,Fayaoue,NC,79.47,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
204,Ende,ID,81.82,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
207,Alofi,NU,84.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
211,Yeppoon,AU,82.4,broken clouds,-23.1333,150.7333,Villa Mar Colina
213,Mitsamiouli,KM,81.43,light rain,-11.3847,43.2844,Foyer ADM
230,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
233,Arlit,NE,82.67,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
