,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,6.58,80,54,3.33,broken clouds
1,Muros,ES,42.7762,-9.0603,55.99,88,100,20.0,overcast clouds
2,Bluff,NZ,-46.6,168.3333,57.0,67,0,1.99,clear sky
3,Cabedelo,BR,-6.9811,-34.8339,78.8,89,0,5.75,clear sky
4,Touros,BR,-5.1989,-35.4608,78.8,83,20,4.61,few clouds
5,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,20,12.66,light rain
6,Davila,PH,18.4726,120.5763,82.4,57,75,4.61,broken clouds
7,Myitkyina,MM,25.3833,97.4,66.54,54,0,1.68,clear sky
8,Jamestown,US,42.097,-79.2353,57.2,30,1,13.15,clear sky
9,San Felipe,VE,10.3399,-68.7425,70.2,87,95,3.83,overcast clouds
10,Port-Gentil,GA,-0.7193,8.7815,81.18,83,89,10.89,overcast clouds
11,Huanren,CN,41.2647,125.3667,42.04,66,100,4.81,overcast clouds
12,Vaini,TO,-21.2,-175.2,84.2,65,20,8.05,few clouds
13,Port Alfred,ZA,-33.5906,26.891,68.0,92,24,3.0,few clouds
14,Wilmington Island,US,32.0036,-80.9737,60.8,59,1,5.75,clear sky
15,Hambantota,LK,6.1241,81.1185,73.4,100,20,4.61,few clouds
16,Cabo San Lucas,MX,22.8909,-109.9124,72.0,64,40,4.61,scattered clouds
17,Hamilton,US,39.1834,-84.5333,64.99,36,1,11.5,clear sky
18,Ulaanbaatar,MN,47.9077,106.8832,26.6,68,40,4.59,scattered clouds
19,Brus Laguna,HN,15.75,-84.4833,72.59,96,0,3.78,clear sky
20,Victoria,HK,22.2855,114.1577,69.01,82,98,1.01,overcast clouds
21,Casper,US,42.8666,-106.3131,28.99,86,75,3.44,broken clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,75,2.3,broken clouds
23,Thompson,CA,55.7435,-97.8558,15.8,79,90,17.27,snow
24,Yarmouth,US,41.7057,-70.2286,39.99,87,1,5.75,clear sky
25,Kodiak,US,57.79,-152.4072,33.01,59,0,18.99,clear sky
26,Albany,US,42.6001,-73.9662,51.8,43,75,14.97,broken clouds
27,Mataura,NZ,-46.1927,168.8643,57.0,67,80,1.99,broken clouds
28,Itoman,JP,26.1247,127.6694,71.6,60,20,5.75,few clouds
29,Butaritari,KI,3.0707,172.7902,81.3,77,13,10.47,light rain
30,Kloulklubed,PW,7.0419,134.2556,80.6,89,75,3.44,broken clouds
